Type                                  Module                      Label             Process   
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfGhostTrackBJetTags"      ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetBProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleInclusiveSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfTrackCountingHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFElectronBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFMuonBJetTags"        ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probb"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probb"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probbb"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probbb"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probc"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probc"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probcc"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probudsg"        "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probudsg"        "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetExtender"            ""                "RECO"    
edm::EDCollection<DetId>              "siPixelDigis"              ""                "RECO"    
edm::EDCollection<DetId>              "siStripDigis"              ""                "RECO"    
edm::EDCollection<DetId>              "siPixelDigis"              "UserErrorModules"   "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfInOutTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfOutInTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "conversionStepTracks"      ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons"               ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons1Leg"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "electronGsfTracks"         ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "generalTracks"             ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "globalMuons"               ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "muonReducedTrackExtras"    ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "default"         "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "dyt"             "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "firstHit"        "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "picky"           "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "csc2DRecHits"              ""                "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "RECO"    
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DCosmicRecHits"         ""                "RECO"    
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DRecHits"               ""                "RECO"    
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "RECO"    
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "towerMaker"                ""                "RECO"    
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "ecalDigis"                 ""                "RECO"    
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "ecalDigis"                 ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEB"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEE"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalPreshowerRecHit"       "EcalRecHitsES"   "RECO"    
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "ecalTPSkim"                ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hbhereco"                  ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "RECO"    
edm::SortedCollection<HFPreRecHit,edm::StrictWeakOrdering<HFPreRecHit> >    "hfprereco"                 ""                "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hfreco"                    ""                "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "horeco"                    ""                "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RECO"    
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "RECO"    
edm::SortedCollection<ZDCRecHit,edm::StrictWeakOrdering<ZDCRecHit> >    "zdcreco"                   ""                "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterOOTECAL"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationES"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterOOTECAL"   "PFClusterAssociationES"   "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "RECO"    
edm::ValueMap<edm::Ref<vector<reco::Photon>,reco::Photon,edm::refhelper::FindUsingAdvance<vector<reco::Photon>,reco::Photon> > >    "gedPhotons"                "valMapPFEgammaCandToPhoton"   "RECO"    
edm::ValueMap<edm::Ref<vector<reco::PreId>,reco::PreId,edm::refhelper::FindUsingAdvance<vector<reco::PreId>,reco::PreId> > >    "trackerDrivenElectronSeeds"   "preid"           "RECO"    
edm::ValueMap<float>                  "ak8PFJetsPuppiSoftDropMass"   ""                "RECO"    
edm::ValueMap<float>                  "eidLoose"                  ""                "RECO"    
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "RECO"    
edm::ValueMap<float>                  "eidRobustLoose"            ""                "RECO"    
edm::ValueMap<float>                  "eidRobustTight"            ""                "RECO"    
edm::ValueMap<float>                  "eidTight"                  ""                "RECO"    
edm::ValueMap<float>                  "lowPtGsfElectronID"        ""                "RECO"    
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "RECO"    
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"    
edm::ValueMap<float>                  "puppi"                     ""                "RECO"    
edm::ValueMap<float>                  "puppiNoLep"                ""                "RECO"    
edm::ValueMap<float>                  "lowPtGsfElectronSeedValueMaps"   "ptbiased"        "RECO"    
edm::ValueMap<float>                  "rekeyLowPtGsfElectronSeedValueMaps"   "ptbiased"        "RECO"    
edm::ValueMap<float>                  "lowPtGsfElectronSeedValueMaps"   "unbiased"        "RECO"    
edm::ValueMap<float>                  "rekeyLowPtGsfElectronSeedValueMaps"   "unbiased"        "RECO"    
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "RECO"    
edm::ValueMap<int>                    "offlinePrimaryVerticesWithBS"   ""                "RECO"    
edm::ValueMap<int>                    "dedxHitInfo"               "prescale"        "RECO"    
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "RECO"    
edm::ValueMap<reco::DeDxData>         "dedxPixelHarmonic2"        ""                "RECO"    
edm::ValueMap<reco::DeDxData>         "dedxTruncated40"           ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositJets"          ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositTk"            ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ecal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "hcal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ho"              "RECO"    
edm::ValueMap<reco::JetID>            "ak4JetID"                  ""                "RECO"    
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "RECO"    
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "RECO"    
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "RECO"    
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauBasicDiscriminators"   ""                "RECO"    
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauBasicDiscriminatorsdR03"   ""                "RECO"    
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauDiscriminationByMuonRejection3"   ""                "RECO"    
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "RECO"    
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "RECO"    
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "RECO"    
edmNew::DetSetVector<PixelFEDChannel>    "siPixelDigis"              ""                "RECO"    
edmNew::DetSetVector<SiPixelCluster>    "muonReducedTrackExtras"    ""                "RECO"    
edmNew::DetSetVector<SiPixelCluster>    "siPixelClusters"           ""                "RECO"    
edmNew::DetSetVector<SiStripCluster>    "muonReducedTrackExtras"    ""                "RECO"    
